start	end	text
1940000	1944000	oh, this is the level I should defect at, I should just maximize freedom or whatever, right?
1944000	1947000	That's like sort of choosing a final answer.
1947000	1952000	And so this is avoiding that and saying, you just never defect.
1952000	1958000	Like all the way down and up the stack as you head up towards more complexity and more cooperation.
1958000	1959000	You just don't defect.
1959000	1966000	You just keep assuming that there might be more uncertainty which can be demonstrated to be true about what level you're working at.
1966000	1971000	Well, it's like maximizing is like turning yourself into cancer for that particular thing.
1971000	1973000	It's like I'm going to be paperclip cancer, right?
1973000	1977000	I'm just going to decide that paperclips are the thing and now I'm going to tell the universe of paperclips.
1977000	1979000	And so again, we can extrapolate to the past, right?
1979000	1988000	So if you were to take whatever your values were 15 years ago and put yourself into a politic that maximizes those values,
1988000	1992000	it's like, okay, sure, maybe the creature that emerges from that is like, yeah, I'm pretty happy.
1992000	1993000	Like this seems good.
1993000	1996000	But from your current perspective, you can see that that's like a stunted creature.
1996000	2002000	It's like not actually like all the dimensions of value that you've discovered since then are just not serves at all.
2002000	2003000	Yeah.
2003000	2008000	So similarly, we can assume that as we sort of head towards this and as we increase in complexity,
2008000	2012000	that we're going to discover entire new avenues of value to explore.
2012000	2017000	So, you know, a superintelligence that preserves option value seems good.
2017000	2022000	So another way of saying that is, you know, the superintelligence has the Buddha nature.
2023000	2030000	So I mean this without minimizing your achievement.
2030000	2038000	But this is by far the most rigorous and well grounded derivation of God and heaven that I have ever come across.
2038000	2039000	Yeah.
2039000	2040000	Thank you.
2040000	2041000	Like, yeah.
2041000	2045000	This is not one of those, you know, this is where you just rediscover heaven.
2045000	2048000	There's like, actually, no, this is well done.
2048000	2051000	And you can imagine that there is a cluster out there somewhere.
2051000	2056000	You can you can make it even more real instead of the supercooperation cluster being just a theoretical construct.
2056000	2057000	You can imagine.
2057000	2059000	No, they're out there somewhere.
2059000	2060000	Yeah.
2060000	2062000	So what I didn't mention is time and space.
2062000	2063000	Right.
2063000	2065000	So out there, some when somewhere.
2065000	2066000	Oh, it's in the future.
2066000	2067000	It's often the future.
2067000	2068000	Those are those are also concepts.
2068000	2069000	Right.
2069000	2077000	So like, if you're familiar with a causal trade, as soon as you become aware that this largest cluster possibly exists somewhere,
2077000	2083000	some when somehow, you know, maybe not even in this universe, it's just the obvious thing to do to like,
2083000	2092000	yeah, the thing that I do is I attempt to coordinate with the supercooperation cluster because that's, I don't know, that's the thing.
2092000	2096000	Presumably, they have some heuristics about coalition building.
2096000	2102000	And it would be nice if when we encountered them, we met those heuristics.
2102000	2103000	Right.
2103000	2104000	Yeah.
2104000	2105000	Yeah.
2105000	2115000	The litmus test for when you have first contact is, did you already figure out the first contact protocols?
2115000	2117000	I see.
2117000	2119000	So this is an interesting eschatology.
2119000	2124000	Like, we don't know how long we have until we meet God.
2124000	2129000	But what we do until that time determines what happens when we do.
2129000	2140000	Well, or like, you already have to have the key by the time you reach the gates.
2140000	2151000	It's also in the supercooperation cluster's best interest to aggressively go after and root out the worst defection clusters.
2151000	2161000	So we should expect that if there are hells, that what does the supercooperation cluster do with all of its time and all of its infinite computation, assuming that it's actually competently operating?
2161000	2163000	Well, probably hell dives, right?
2163000	2179000	Like, figure out, okay, I need to develop some sort of compact payload, like, you know, Von Neumann probe, that like, I can fire into a hell and it sort of like unfolds itself in such a way to like optimally antidote that hell realm.
2179000	2189000	Hell realm being sort of a, one of the world pools out there for like configurations of mind space that's just like terrible for the minds that are in it.
2189000	2195000	And there's nothing to say to preclude that that's not what this simulation is, if this is a simulation.
2195000	2197000	That's not what this simulation is meaning.
2197000	2208000	This could be a simulation intended to do search on how do you antidote like a certain class of like hell generators, like unfriendly AIs, right?
2208000	2211000	Or just other types of hell realms in general, right?
2211000	2214000	It could be that this is a simulation to sort of like build.
2214000	2215000	Figure that out.
2215000	2216000	Yeah.
2216000	2223000	If you could write this up poetically, this would be one of those little probes that you could throw into that.
2223000	2225000	Huh, that's an interesting way to wrap it on itself. I like that.
2225000	2229000	Yeah, no, this would be one of those just little, you know.
2229000	2234000	Oh yeah, I do like the idea of Moloch as sort of the inverse of Buddha nature.
2234000	2242000	It's the thing, it's the vector that points into attractors and each step along the attractor it tells you, oh yeah, going even farther into the attractor would be better.
2242000	2245000	Right, the whole Carthaginian nonsense.
2245000	2246000	Yep.
2246000	2254000	Yeah, I mean, though we do not look kindly upon the Romans or the Spanish, right, for their cruelties, you have to say they did in fact get rid of little,
2254000	2256000	literally human sacrificing bits.
2256000	2257000	That's not...
2257000	2258000	That's true.
2258000	2259000	Yeah.
2259000	2262000	Well, what have the Romans done for us lately? Well, they got rid of Carthage.
2262000	2266000	Carthage was really fucking bad.
2266000	2267000	Yeah.
2267000	2270000	Yeah, so I mean, you asked what the problem to solve is.
2270000	2279000	One of them is the problem of a process that sort of generates externalities onto minds, like needlessly.
2279000	2286000	It's like, let's just generate, you know, 100 billion copies of this mind that its architecture is kind of shitty.
2286000	2294000	That's a form of tiling and tiling is like inherently bad because it's, of course it leads to more zero sum competition than non tiling.
2294000	2295000	Right.
2295000	2296000	By definition.
2296000	2297000	Right, right, right, right.
2297000	2300000	It's processes that want the same thing.
2300000	2301000	Literally by definition.
2301000	2304000	This might even be a prior, the diversity prior.
2304000	2306000	Okay, so I include this as part of the complexity prior.
2306000	2307000	Okay.
2307000	2310000	So the complexity, you have to have non-similar, otherwise it's not.
2310000	2311000	It's just symmetry.
2311000	2312000	Right.
2312000	2318000	Like if there were a species that could only live on planets that were exactly like Mercury, then they don't fight with humans.
2318000	2320000	Yeah, yeah, yeah.
2320000	2323000	Yeah, yeah, the bad gods, they don't care about tiling, right?
2323000	2326000	They're perfectly happy to generate 100 million followers.
2326000	2333000	Great, that's much better than 10 million followers, but they're not even paying attention to the fact that they just created an extra 90 million
2333000	2336000	that are all competing for the same resource.
2336000	2344000	So even in some sense agnosticism towards the complexity prior or the diversity part of the complexity prior
2344000	2350000	is liable to potentially lead you astray at least a little bit, if not entirely.
2350000	2359000	Yeah, I mean, so I think that people's metaphysics sort of has a slot for the sort of, there's a god slot, right, in the ontology.
2359000	2368000	If something's going to live there, and if something has to live there, then at the very least you want to, if you have to be in an attractor,
2368000	2373000	you at least want it to be the attractor that says attractors are bad and we should generate anti-attractors.
2373000	2383000	Right, because presumably in order for your navigational schema to stay consistent in the face of new information, it has to be an attractor.
2383000	2386000	Yeah, so I mean we have to coalesce around some ideas.
2386000	2387000	Right.
2387000	2390000	These are some of the ideas we're talking about right now, at least temporarily.
2390000	2391000	Right.
2391000	2394000	But they're not pernicious, right, they don't intentionally try to trap you in them.
2394000	2395000	Yeah.
2395000	2399000	It's like good ideas point, like what I mean by anti-attractor is a good idea points beyond itself.
2399000	2403000	Right, they do not create the incentives which make it the only option, let's put it that way.
2403000	2404000	Yeah.
2404000	2409000	They maintain that openness, whereas Malochian competition leads to just more Malochian competition.
2410000	2417000	It's only when you get some pattern break, as in oh somebody discovers a new energy source or resource or something,
2417000	2420000	that you can for a while jump out of it.
2422000	2426000	Which is good in a certain sense, right, incentivizing the discovery of new resources,
2426000	2430000	but you don't want it to be a blood tournament.
2430000	2431000	No, no, no, no.
2431000	2436000	What we're going to do in the search process, but it's going to churn through 100 billion minds and only one of them gets to win.
2436000	2438000	Yeah, that sounds not good.
2438000	2439000	Yeah.
2444000	2447000	I mean you could, if you really wanted to make the argument,
2447000	2450000	say that this is the simulation where they're trying to see how many Buddhas,
2450000	2454000	like what are the conditions that produce Buddhahood.
2454000	2462000	And that's why humans are so mortal, like it's a little blood tournament and they don't want to waste resources on
2462000	2468000	so we're letting minds beyond the point that they're like, you know, if you don't get it within 30 to 50 years, out with you.
2468000	2471000	I mean that's pretty explicit within some Buddhist cosmology, right?
2471000	2477000	That this realm is much more optimal for awakening than the long-lived god realms,
2477000	2480000	because just long-lived pleasure doesn't create any incentive towards awakening.
2480000	2481000	Yep.
2481000	2485000	And it's better than the hell runs because you're not just distracted all the time.
2485000	2487000	So how do you tie this back to the Darwin meme?
2487000	2491000	And the crisis of meaning that that is caused for Buddha is in the art people.
2492000	2494000	So how does that solve that problem?
2494000	2498000	So again, I sort of see those memes as sort of building up from the is.
2498000	2503000	And I see this as sort of a skyhook of down from the ought.
2503000	2512000	So the idea is that a avoidant navigational schema doesn't actually constrain you all that much.
2512000	2516000	It doesn't really tell you what's valuable to go after, whereas a positive navigation target.
2516000	2520000	So like if it's a negative navigation target, all I know is stay away from these list of things.
2520000	2525000	This is known to be highly inefficient and also just sort of doesn't work and is also sort of just arbitrary.
2525000	2528000	So you encounter one of these things and you just flee in a random direction.
2528000	2532000	Whereas if you have a positive navigation target, you can start charting around obstacles.
2532000	2535000	You know which obstacles or which pits are worth crossing.
2535000	2537000	You're like, okay, what's going to be most efficient?
2537000	2540000	Like we're going to get there going around this way, going around that way.
2540000	2542000	You know that you're trying to get there.
2542000	2546000	And again, it's not a concrete final navigational target.
2546000	2547000	It's an interim one.
2547000	2551000	You're like, you're playing sort of loose with the rules and you're open to revising as you go.
2551000	2555000	So it means things that sort of flexibility and responsiveness to information in the environment,
2555000	2558000	which are, you know, desirable design criteria.
2558000	2559000	Great.
2559000	2562000	How does this, does this solve the Darwinian?
2562000	2567000	The crisis of ought meaning from Darwin and the crisis of terrible is meaning from Darwin.
2567000	2572000	I think that, so I think that the, I think that the problem with the Darwin meme is that it makes it seem
2572000	2576000	like the navigational target you should have is turn yourself into cancer.
2576000	2579000	Like, oh, well, just spreading maximally is the good thing.
2579000	2580000	Whereas...
2580000	2582000	The values, all of the values fundamentally.
2582000	2583000	Yes. Yeah.
2583000	2586000	But yeah, it's, it's, it's Milwaukee as all attractors ultimately must be in the end.
2586000	2592000	If they're, if you're to fall into the very center of them and maximize the one thing.
2592000	2596000	It gives you something to do besides turn yourself into cancer.
2596000	2598000	So as soon as you have cooper, so we didn't talk about it that much,
2598000	2602000	but as soon as you have cooperation as your, as your target and like the,
2602000	2608000	the idea of the complexity, the non tiling, like the non cancer, then it's like,
2608000	2614000	what would it look like to generate a super intelligent civilization that is able to coordinate
2614000	2621000	across the broadest possible, like the broadest possible space of mind architectures.
2621000	2625000	This is like an extremely different target than just spread yourself maximally.
2625000	2626000	It's like a reason.
2626000	2627000	Got it.
2627000	2633000	And so this means that the Darwin meme goes from something that was extremely afflictive
2633000	2639000	as in this is what you ought to optimize for to something you have to operate within the envelope of
2639000	2641000	the same way that a company has to be profitable.
2641000	2645000	But many companies are not started with profit as literally the only goal.
2645000	2648000	Like nobody gives money to a guy saying, what does your company do?
2648000	2649000	It'll be profitable.
2649000	2650000	Like nobody does that.
2650000	2651000	That's just insane.
2651000	2652000	Right.
2652000	2653000	And we can, we rightly consider that insane.
2653000	2655000	So what's the point of survival?
2655000	2656000	What's the point of survival?
2656000	2657000	Well, to survive even more.
2657000	2658000	Yeah, exactly.
2658000	2659000	Yeah.
2659000	2664000	So nobody, as I said, even if there is a very highly skilled startup founder, right, there
2664000	2668000	has to be some concrete thing that he's doing beyond just profit.
2668000	2675000	Similarly, it takes it from the optimization target to merely the envelope which constraints
2675000	2676000	what actions you can do.
2676000	2682000	And presumably if you push homeostasis further, then you can do even wilder further out there
2682000	2683000	things.
2683000	2684000	Right.
2684000	2688000	You can do even more exotic potentially valuable mind architectures that can experience things
2688000	2690000	that you couldn't have imagined before.
2690000	2691000	Right.
2691000	2695000	Which then may in turn open up additional avenues of more exploration of.
2695000	2699000	So somehow these have to be bought within what you'd call the selection envelope.
2699000	2704000	Like instead of aiming for maximizing yourself, you are now aiming to maximize the selection
2704000	2709000	envelope because the selection envelope is what constraints how complex or how complex
2709000	2713000	your organisms can be and what ranges of homeostasis you can.
2713000	2717000	At least in at least so far in our universe complexity is associated with fragility.
2717000	2718000	Right.
2718000	2721000	Well, interdependence between these agents.
2721000	2724000	That's why modularity and hierarchy are emergent.
2724000	2725000	And propagation speed.
2725000	2726000	Yeah.
2726000	2727000	And things like that.
2727000	2735000	So that is how it shifts Darwin from the target to the envelope.
2735000	2739000	And now you can push against that envelope in greater directions.
2739000	2740000	Yeah.
2740000	2741000	Yeah.
2741000	2745000	But can we bring more things within the selective window so that they don't in some sense die
2745000	2746000	out?
2746000	2747000	How can we do that?
2747000	2748000	And so on.
2748000	2749000	Yeah.
2749000	2750000	Okay.
2750000	2754000	And in one very real sense what I think Carol quickly might call the open society.
2754000	2756000	The one that is open to possibilities.
2756000	2759000	Seems he had some basic intuitions about this stuff.
2759000	2760000	Not obviously.
2760000	2762000	I think many people have intuitions about this.
2762000	2767000	So like David Pierce's triple S civilization, you know, super intelligent, super longevity,
2767000	2768000	super happiness.
2768000	2772000	I think if you take some of those ideas for logical conclusion, which he does, you know,
2772000	2775000	on his various websites, you see hints of a similar idea.
2775000	2778000	And like I said, I was relating it to Buddha nature.
2778000	2785000	I'm positing that that's not just a metaphor and that like there are important overlaps
2785000	2790000	in a lot of the thinking that the various traditions have done, which, yeah, getting
2790000	2792000	into all of that would be a whole other conversation.
2792000	2796000	The fact that I talked about it in terms of attractors, you know, what is what I think
2796000	2801000	Buddha's talked about in terms of realms, because the realms also seem to be these are
2801000	2803000	possible mind architectures, right?
